Город,Цена в месяц,Оплата ЖКХ,Срок аренды,Условия проживания,Комиссия,Предоплата,Залог,Метро,Холодильник,Стиральная машина,Мебель в комнатах,Мебель на кухне,Телевизор,Интернет,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Тип дома,Тип перекрытий,Парковка,Санузел,Вид из окон,Количество лифтов,Год постройки,Подъезды,Ремонт,Отопление,Газоснабжение,Мусоропровод
1,0.9762375684754189,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017800768207767177,24,1,1,1,1,1,1,1.4820349353136426,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,2,1,5,1,2,2014.0,4.0,3,3,2,3
1,-0.32735475336870984,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01899883346478244,25,1,1,1,1,1,1,0.4979130428292289,1.005694028235936,-0.23742085518747957,-0.1936999032567648,2,3,2,3,1,1,2004.0,4.0,1,1,2,1
1,0.9762375684754189,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017800768207767177,26,1,1,1,1,1,1,0.4979130428292289,-0.20888046227770438,-0.23742085518747957,0.4997645562183033,5,1,1,3,4,5,2017.0,1.0,3,2,2,3
1,-0.3532968891268019,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.01902267555944941,10,1,1,1,1,1,0,0.5799232005362633,-0.20888046227770438,-0.23742085518747957,-0.27691563839377303,1,1,2,1,1,7,2013.0,7.0,2,2,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01902267555944941,27,1,1,1,1,1,1,-0.5408822881265412,-0.40321238075988686,-0.5630480451094027,-0.27691563839377303,2,2,2,1,1,5,1996.0,4.0,1,1,2,1
1,1.008665238173034,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017770965589433464,28,0,0,0,0,0,0,0.1370683489182771,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,1,1,2,2,2010.0,4.0,3,1,2,1
1,1.0735205775682644,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017711360352766038,29,1,1,1,1,1,1,2.0643070550335874,2.3174344779906675,0.0882063347344435,0.4997645562183033,5,1,2,5,1,6,2006.0,2.0,3,2,2,1
1,1.1383759169634946,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.018486228429442576,30,1,1,1,1,1,1,0.6345966390076196,-0.20888046227770438,0.5766471196173281,-0.05500701136175168,1,2,2,6,2,2,2020.0,4.0,3,3,2,3
1,1.0735205775682644,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017711360352766038,13,1,1,1,1,1,1,2.438820108562378,1.9773536206468483,0.4138335246563666,0.6384574481133164,1,1,1,5,2,3,2012.0,4.0,3,2,2,3
1,1.008665238173034,-0.00012609021630315037,2,2,-1.2873067925520068,1,-0.017770965589433464,31,0,0,0,0,0,0,0.2792192889438036,-0.20888046227770438,1.3907150944221358,-0.05500701136175168,1,1,1,1,2,2,2010.0,4.0,3,1,2,1
1,1.028121839991603,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017860373444434603,32,1,1,0,0,1,0,0.9899739890714357,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,1,5,2,2,2019.0,5.0,3,1,2,1
1,1.0735205775682644,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017472939406096333,30,1,1,1,1,1,1,0.6345966390076196,-0.20888046227770438,-0.23742085518747957,1.4706147994833982,1,2,2,1,2,2,2020.0,4.0,1,3,2,3
1,1.008665238173034,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017770965589433464,30,1,1,1,1,1,1,0.6345966390076196,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,1,1,1,2,2010.0,4.0,3,1,2,1
1,1.0735205775682644,-0.00012609021630315037,1,3,-1.2873067925520068,1,-0.017711360352766038,33,1,1,0,1,1,1,1.755402127670424,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,5,1,2,2,1,9,2007.0,5.0,4,2,2,1
1,1.1059482472658795,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017681557734432325,31,1,1,1,1,1,1,1.2633411814282174,2.268851498370122,-0.5630480451094027,0.2223787724282758,1,2,2,6,4,10,2010.0,4.0,1,3,2,1
1,1.1967457224192017,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017598110403097927,34,1,1,1,1,1,1,-0.3085201746232768,-0.20888046227770438,-0.23742085518747957,0.4997645562183033,1,1,1,6,1,1,2010.0,4.0,3,1,2,1
1,1.3329419351491854,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017472939406096333,30,1,1,1,1,1,1,0.9079638313644013,-0.20888046227770438,-0.23742085518747957,1.4706147994833982,1,2,2,1,1,2,2020.0,4.0,3,3,2,3
1,1.1383759169634946,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.018486228429442576,30,1,1,1,1,1,1,0.6619333582432978,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,2,1,1,2,2010.0,4.0,3,1,2,3
1,1.2032312563587249,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017592149879431185,24,1,1,1,1,1,1,2.083442758498562,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,2,1,5,2,2,2012.0,4.0,3,3,2,1
1,1.2032312563587249,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017592149879431185,35,1,1,1,1,1,1,2.0014326007915275,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,2,2,5,1,2,1914.0,15.0,3,1,2,1
1,1.3329419351491854,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017472939406096333,35,1,1,1,1,1,1,1.9740958815558494,-0.20888046227770438,-0.23742085518747957,0.5691110021658098,5,3,2,6,2,2,1910.0,1.0,1,1,2,1
1,1.1383759169634946,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.01765175511609861,30,1,1,1,1,1,1,0.0878622542940565,-0.20888046227770438,-0.23742085518747957,1.4706147994833982,1,2,2,1,2,2,2020.0,4.0,3,3,2,3
1,1.2032312563587249,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017592149879431185,5,1,1,1,1,1,0,1.8647490046131368,-0.20888046227770438,-0.23742085518747957,0.3610716643232895,5,1,1,2,1,3,2003.0,1.0,3,2,2,1
1,1.2032312563587249,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017592149879431185,33,1,1,1,1,1,1,1.728065408434746,-0.20888046227770438,0.5115216816329434,-0.05500701136175168,5,1,1,5,1,5,2007.0,5.0,3,2,2,1
1,1.2032312563587249,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017592149879431185,30,1,1,1,1,1,1,0.7712802351860105,-0.20888046227770438,3.0188510440317513,-0.05500701136175168,1,1,2,1,1,2,2010.0,4.0,3,1,2,3
1,1.5275079533348763,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.017294123696094055,30,1,1,1,1,1,1,1.181331023721183,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,1,5,1,2,2010.0,4.0,3,1,2,1
1,1.462652613939646,-0.00012609021630315037,1,1,-1.2873067925520068,1,-0.01735372893276148,36,1,1,1,1,1,1,0.8806271121287231,-0.20888046227770438,-0.23742085518747957,0.7771503400083302,1,2,2,2,1,2,2013.0,4.0,4,3,2,1
1,1.3329419351491854,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017472939406096333,5,1,1,1,1,1,1,3.2315849663970444,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,1,7,1,1,2004.0,2.0,3,2,2,1
